Time, ID, Data
6618584,421400B,00A13E0800000108
6631344,6254000,00FFFF00FFFFFF00
6634204,4294001,0000903900000000
6637065,4394100,8327DD0003FF8000
6639984,6314024,0000000000000000
6646445,2294000,0000000000000000
6655485,4214001,0000802E10332B00
6657645,4394000,0000004E
6671284,421400B,00A13E0800000108
6680465,4214006,0000000000000000
6683844,4294001,0000903900000000
6690124,302911A,00000A23
6700863,621401A,8007010000000000
6703803,6314000,4000000000000000
6710123,4294001,0000903900000000
6723903,421400B,00A13E0800000108
6731463,62BBF00,0000000000000000
6736363,4394100,8347DB0004010000
6753524,4214001,0000802E10332B00
6756385,4294001,0000903900000000
6758923,2214000,806800000000
6761083,4394000,0000004E
6775742,4214006,0000000000000000
6778163,C214003,033704012013
6783902,4294001,0000903900000000
6788222,4214001,0000802E10332B00
6790342,302911A,00000B3E
6793201,421400B,00A13E0800000108
6801382,6264000,1432CF8023003100
6808902,4294001,0000903900000000
6813601,4214001,0000802E10332B00
6821383,6214000,2000400000230E00
6836600,4394100,8327DC0003FF8000
6839401,4214001,0000802E10332B00
6842240,421400B,01A13E0800000108
6845101,4294001,0000903900000000
6851641,63D4000,5545000006C50000
6855860,4394000,0000004E
6868300,4294001,0000903900000000
6871101,4214001,0000802E10332B00
6877841,C054003,1781CAE180DB0000
6880762,4214006,0000000000000000
6883662,6254000,00FFFF00FFFFFF00
6890641,421400B,00A13E0800000108
6892742,302911A,00000C6D
6898342,4294001,0000903900000000
6911342,4214001,0000802E10332B00
6930141,4294001,0000903900000000
6936440,4394100,8327DC0004010000
6941341,421400B,00A13E0800000108
6951180,621401A,8007010000000000
6954121,6314000,4000000000000000
6956921,4214001,0000802E10332B00
6959081,4394000,0000004E
6961941,4294001,0000903900000000
6976320,4214006,000C000000002000
6979121,4214001,0000802E10332B00
6980901,621400A,0000
6983720,6314003,A210700080800000
6988181,4294001,0000903900000000
6990620,302911A,00000D70
7000440,421400B,00A13E0800000108
7005959,2214000,806800000000
7019640,4294001,0000903900000000
7035939,4214001,0000802E10332B00
7038800,4394100,8357DC0004010000
7053480,421400B,00A13E0800000108
7055638,4394000,0000004E
7060619,4294001,0000903900000000
7071298,6214000,2000400000230E00
7074098,4214001,0000802E10332B00
7077899,A3D4003,2CA5100000000000
7083618,4214006,000C000000002000
7090419,302911A,00000E57
7096498,6284000,0000000000000000
7099359,4294001,0000903900000000
7102158,4214001,0000802E10332B00
7108199,421400B,00A13E0800000108
7114918,1E114000,
7117458,1E114003,100000391920
7119837,1E11400A,AAAAAAAAAAA0
7122257,1E114020,100000342190
7125119,4294001,0000903900000000
7127559,1E114024,100000391920
7130738,1E11401A,100000342190
7133637,6254000,00FFFF00FFFFFF00
7136516,4394100,8327DC0003FF8000
7139738,4214001,0000802E10332B00
7149077,4294001,0000903900000000
7155658,4394000,0000004E
7168477,421400B,00A13E0800000108
7175917,4214006,000C000000002000
7178776,4294001,0000903900000000
7181577,4214001,0000802E10332B00
7184437,A354003,2CA5100000000000
7190577,302911A,00000F4A
7201177,621401A,8007010000000000
7204117,6314000,4000000000000000
7210095,4294001,0000903900000000
7212895,4214001,0000802E10332B00
7231396,62BBF00,0000000000000000
7235315,421400B,00A13E0800000108
7238175,4394100,8327DB0004000000
7240976,4214001,0000802E10332B00
7248335,4294001,0000903900000000
7255576,4394000,0000004E
7258115,2214000,806800000000
7275115,4214006,000C000000002000
7277914,4214001,0000802E10332B00
7280775,4294001,0000903900000000
7283694,A194003,0000400000000000
7290414,302911A,000000F1
7293715,421400B,00A13E0800000108
7301295,6264000,1432CF8023003104
7310814,4294001,0000903900000000
7312775,A094005,003056
7315575,4214001,0000802E10332B00
7317475,A114000,00EA59
7321254,6214000,2000400000230E00
7336375,4394100,8327DB0004010000
7340494,4214001,0000802E10332B00
7346353,421400B,00A13E0800000108
7349213,4294001,0000903900000000
7352053,63D4000,5545000006C50000
7355693,4394000,0000004E
7370813,4214001,0000802E10332B00
7377854,C394003,C202000008016000
7380754,4214006,000C000000002000
7383614,4294001,0000903900000000
7386514,6254000,00FFFF00FFFFFF20
7390454,302911A,000001EC
7398495,421400B,00A13E0800000108
7401295,4214001,0000802E10332B00
7412675,C3D4000,1AAE
7416454,4294001,0000903900000000
7429894,4214001,0000802E10332B00
7436533,4394100,8337DC0003FF0000
7443754,4294001,0000903900000000
7451133,621401A,8007010000000000
7454073,6314000,4000000000000000
7456234,4394000,0000004E
7460573,421400B,00A13E0800000108
7467954,E094000,001E04401C49
7470333,E094024,001A
7472114,E094003,000E
7475854,4214006,000C000000002000
7478651,4214001,0000802E10332B00
7481512,4294001,0000903900000000
7484333,6314003,A210700080800000
7486131,E09400A,0036
7487930,E09401A,003E
7489711,621400A,0000
7491811,302911A,000002CB
7493594,E094020,000A
7501711,6314020,08000098
7506031,2214000,806800000000
7508891,4294001,0000903900000000
7511691,4214001,0000802E10332B00
7529130,421400B,00A13E0800000108
7536451,4394100,8307DC0004000000
7546271,4294001,0000903900000000
7553389,4214001,0000802E10332B00
7555649,4394000,0000004E
7571372,6214000,2000400000230E00
7575149,4214006,000C000000002000
7578949,4294001,0000903900000000
7581810,421400B,00A13E0800000108
7589190,4214001,0000802E10332B00
7591289,302911A,000003D6
7596410,6284000,0000000000000000
7619330,4294001,0000903900000000
7622129,4214001,0000802E10332B00
7631389,6254000,00FFFF00FFFFFF20
7634310,6314024,0000000000000000
7637170,421400B,00A13E0800000108
7640029,4394100,8337DA0004000000
7646410,2294000,0000000000000000
7650468,4294001,0000903900000000
7653269,4214001,0000802E10332B00
7655628,4394000,0000004E
7680708,4214001,0000802E10332B00
7683988,4294001,0000903900000000
7686889,4214006,000C000000002000
7689748,421400B,00A13E0800000108
7691848,302911A,00000485
7701128,621401A,8007010000000000
7704067,6314000,4000000000000000
7723766,4294001,0000903900000000
7731426,62BBF00,0000000000000000
7736347,4394100,8327DD0004000000
7739148,4214001,0000802E10332B00
7742007,421400B,00A13E0800000108
7750527,4294001,0000903900000000
7755627,4394000,0000004E
7758167,2214000,806800000000
7764208,4214001,0000802E10332B00
7775465,4214006,000C000000002000
7778326,4294001,0000903900000000
7780745,C214003,033704012013
7790586,302911A,00000598
7795486,4214001,0000802E10332B00
7801266,4294001,0000903900000000
7804106,6264000,1432CF8023003104
7806966,421400B,00A13E0800000108
7821306,6214000,2000400000230E00
7826205,4214001,0000802E10332B00
7836365,4394100,8337DF0004000000
7839225,4294001,0000903900000000
7851306,63D4000,5544000006C50000
7855605,4394000,0000004E
7860665,4214001,0000802E10332B00
