Time, ID, Bus, Data
1870030,621400A,98,0000
1871809,E09401A,98,001E
1876010,4214001,98,0000905505281F00
1882888,2214000,98,806800000000
1886068,4294001,98,0000000000000180
1913206,4394100,98,7ED7EB0003FE0000
1926006,4214001,98,0000905505281F00
1932467,4394000,98,00000043
1936087,4294001,98,0000000000000180
1938967,421400B,98,00863E0440000000
1948246,6214000,98,2C004000003A0B00
1951165,4214006,98,0000000000000000
1973186,6284000,98,0000000000000000
1976025,4214001,98,0000905505281F00
1986085,4294001,98,0000000000000180
2008205,6254000,98,80FFFF00FFFFFF00
2013084,4394100,98,7EA7EB0003FE0000
2023184,2294000,98,0000000000000000
2026023,4214001,98,0000905505281F00
2032383,4394000,98,00000043
2036102,4294001,98,0000000000000180
2038983,421400B,98,00863E0440000000
2050501,4214006,98,0000000000000000
2076062,4214001,98,0000905505281F00
2079002,6314000,98,0000000000000000
2081882,621401A,98,0005010000000000
2086142,4294001,98,0000000000000180
2113083,4394100,98,7EB7EB0003FE0000
2126021,4214001,98,00009055051E1F00
2132360,4394000,98,00000043
2134901,2214000,98,806800000000
2137781,421400B,98,00863E0440000000
2140700,4294001,98,0000000000000180
2150660,4214006,98,0000000000000000
2165600,C214003,98,003804012013
2176001,4214001,98,00009055051E1F00
2178840,6264000,98,0B1ED07FC3272800
2186119,4294001,98,0000000000000180
2198199,6214000,98,2C004000003A0B00
2213120,4394100,98,7EA7EA0003FE0000
2226017,4214001,98,0000905505211F00
2228898,63D4000,98,565B000006C00000
2232358,4394000,98,00000043
2236118,4294001,98,0000000000000180
2238998,421400B,98,00863E0440000000
2250657,4214006,98,0000000000000000
2258097,6254000,98,80FFFF00FFFFFF00
2265957,C054003,98,1781CAE188E70000
2275997,4214001,98,0000905505211E00
2286116,4294001,98,0000000000000180
2313076,4394100,98,7EC7EB0003FE0000
2326034,4214001,98,0000905505211F00
2328975,6314000,98,0000000000000000
2331874,621401A,98,0005010000000000
2334015,4394000,98,00000043
2336935,4294001,98,0000000000000180
2339815,421400B,98,00863E0440000000
2350714,4214006,98,0000000000000000
2366055,6314003,98,2010300000000000
2370034,621400A,98,0000
2376034,4214001,98,00009055051A1F00
2382853,2214000,98,806800000000
2386133,4294001,98,0000000000000180
2413153,4394100,98,7EA7EA0003FD8000
2426031,4214001,98,00009055051A1F00
2432352,4394000,98,00000043
2436151,4294001,98,0000000000000180
2439032,421400B,98,00863E0440000000
2448092,6214000,98,2C004000003A0B00
2451011,4214006,98,0000000000000000
2466010,A3D4003,98,2CA5100370000000
2473171,6284000,98,0000000000000000
2476090,4214001,98,0000905505131F00
2486510,4294001,98,0000000000000180
2508189,6254000,98,80FFFF00FFFFFF00
2513109,4394100,98,7EC7EA0003FE0000
2526127,4214001,98,0000905505131F00
2532347,4394000,98,00000043
2536208,4294001,98,0000000000000180
2539087,421400B,98,00863E0440000000
2550527,4214006,98,0000000000000000
2565967,A354003,98,2CA5100370000000
2576209,4214001,98,0000905505131E00
2579148,6314000,98,0000000000000000
2582049,621401A,98,0005010000000000
2586168,4294001,98,0000000000000180
2613047,4394100,98,7EA7EB0003FE0000
2626067,4214001,98,0000905505131F00
2632346,4394000,98,00000043
2634885,2214000,98,806800000000
2637765,421400B,98,00863E0440000000
2640686,4294001,98,0000000000000180
2650626,4214006,98,0000000000000000
2666064,A194003,98,0000400000000000
2676065,4214001,98,0000905505131F00
2678884,6264000,98,0B1ED07FC3262700
2686184,4294001,98,0000000000000180
2698083,6214000,98,2C004000003A0B00
2713043,4394100,98,7EA7EB0003FE0000
2726083,4214001,98,0000905505051E00
2728962,63D4000,98,565B000006C00000
2732341,4394000,98,00000043
2736181,4294001,98,0000000000000180
2739082,421400B,98,00863E0440000000
2750702,4214006,98,0000000000000000
2758081,6254000,98,80FFFF00FFFFFF00
2765981,C394003,98,C202000008016000
2776081,4214001,98,0000905505051F00
2786180,4294001,98,0000000000000180
2813200,4394100,98,7ED7EA0003FD8000
2826079,4214001,98,0000905505211F00
2829019,6314000,98,0000000000000000
2831900,621401A,98,0005010000000000
2834039,4394000,98,00000043
2836960,4294001,98,0000000000000180
