Time, ID, Bus, Data
151723409,421400B,98,00863E0440000000
151739388,4214006,98,0000000000000000
151742768,6254000,98,80FFFF00FFFFFF00
151746269,C054003,98,1781CAE180E70000
151760408,4214001,98,0000916006F62C00
151770808,4294001,98,0000000000000180
151797787,4394100,98,7EA7EA0003FD8000
151807505,621401A,98,8005010000000000
151810446,4214001,98,0000916006F62C00
151813385,6314000,98,4000000000000000
151817044,4394000,98,00000043
151820564,4294001,98,0000000000000180
151823445,421400B,98,00863E0440000000
151839465,4214006,98,0000000000000000
151843865,621400A,98,0000
151846683,6314003,98,A210300080800000
151860464,4214001,98,0000916006882C00
151867443,2214000,98,806800000000
151870543,4294001,98,0000000000000180
151897881,4394100,98,7EA7EA0003FD8000
151910802,4214001,98,0000916006882B00
151917121,4394000,98,00000043
151920540,4294001,98,0000000000000180
151923421,421400B,98,00863E0440000000
151932741,6214000,98,28004000003A0B00
151939600,4214006,98,0000000000000000
151946321,A3D4003,98,2CA5100380000000
151957859,6284000,98,0000000000000000
151960639,4214001,98,0000916006612B00
151970559,4294001,98,0000000000000180
151992738,6254000,98,80FFFF00FFFFFF00
151997739,4394100,98,7EB7EB0003FD8000
152010417,4214001,98,0000916006612B00
152017058,4394000,98,00000043
152020576,4294001,98,0000000000000180
152023478,421400B,98,00863E0440000000
152039597,4214006,98,0000000000000000
152046337,A354003,98,2CA5100380000000
152057515,621401A,98,8005010000000000
152060436,4214001,98,0000916006442A00
152063376,6314000,98,4000000000000000
152070655,4294001,98,0000000000000180
152097894,4394100,98,7EC7EB0003FD8000
152110434,4214001,98,0000916006362A00
152117114,4394000,98,00000043
152119654,2214000,98,806800000000
152122534,421400B,98,00863E0440000000
152125452,4294001,98,0000000000000180
152139433,4214006,98,0000000000000000
152146374,A194003,98,0000400000000000
152160493,4214001,98,0000916006362900
152163292,6264000,98,0E1ED07FB31D2200
152170572,4294001,98,0000000000000180
152182751,6214000,98,28004000003A0B00
152197770,4394100,98,7EA7EA0003FD8000
152210491,4214001,98,0000916006162900
152213370,63D4000,98,5651000006C00000
152217111,4394000,98,00000043
152220590,4294001,98,0000000000000180
152223491,421400B,98,00863E0440000000
152239410,4214006,98,0000000000000000
152242729,6254000,98,80FFFF00FFFFFF00
152246289,C394003,98,C202000008016000
152260510,4214001,98,0000916006162800
152270648,4294001,98,0000000000000180
152276368,1E114000,98,
152280009,1E114020,98,100000391920
152281749,C3D4000,98,1E11
152284187,1E114003,98,100000391920
152286649,1E11400A,98,100000391920
152297089,1E11401A,98,100000391920
152299947,4394100,98,7EC7EB0003FD8000
152307487,621401A,98,8005010000000000
152310467,4214001,98,0000916006162800
152313407,6314000,98,4000000000000000
152317046,4394000,98,00000043
152320586,4294001,98,0000000000000180
152323468,421400B,98,00863E0440000000
152334427,E094000,98,000E04401C4B
152339485,4214006,98,0000000000000000
152341266,E094003,98,001E
152343248,E094020,98,000A
152345027,E09400A,98,001E
152347847,6314003,98,A210300080800000
152349626,621400A,98,0000
152351767,6314020,98,00000098
152353548,E09401A,98,001E
152360445,4214001,98,0000916006162700
152367426,2214000,98,806800000000
152370605,4294001,98,0000000000000180
152397785,4394100,98,7EA7EA0003FD8000
152410465,4214001,98,0000916006162700
152417025,4394000,98,00000043
152420604,4294001,98,0000000000000180
152423484,421400B,98,00863E0440000000
152432743,6214000,98,28004000003A0B00
152439563,4214006,98,0000000000000000
152457843,6284000,98,0000000000000000
152460624,4214001,98,0000916006162600
152471183,4294001,98,0000000000000180
152492822,6254000,98,80FFFF00FFFFFF00
152497922,4394100,98,7EA7EA0003FD8000
152507941,2294000,98,0000000000000000
152510741,4214001,98,0000916005F62600
152517160,4394000,98,00000043
152520621,4294001,98,0000000000000180
152523501,421400B,98,00863E0440000000
152538080,4214006,98,0000000000000000
152557479,621401A,98,8005010000000000
152560519,4214001,98,0000916005F62500
152563460,6314000,98,4000000000000000
152570640,4294001,98,0000000000000180
152597738,4394100,98,7EC7EA0003FD8000
152610496,4214001,98,0000916005D32500
152617017,4394000,98,00000043
152619556,2214000,98,806800000000
152622437,421400B,98,00863E0440000000
152625356,4294001,98,0000000000000180
152639357,4214006,98,0000000000000000
152645917,C214003,98,004104012013
152660536,4214001,98,0000916005D32400
152663316,6264000,98,0D1ECF7F931C2400
152670656,4294001,98,0000000000000180
152682734,6214000,98,28004000003A0B00
152697754,4394100,98,7EA7EB0003FD8000
152710574,4214001,98,0000916005C52400
152713453,63D4000,98,5655000006C00000
152717033,4394000,98,00000043
152720693,4294001,98,0000000000000180
152723573,421400B,98,00863E0440000000
152739394,4214006,98,0000000000000000
152742634,6254000,98,80FFFF00FFFFFF00
152746253,C054003,98,1781CAE180E70000
152760532,4214001,98,0000916005C52300
152770652,4294001,98,0000000000000180
152797731,4394100,98,7EC7EB0003FD8000
152807472,621401A,98,8005010000000000
152810531,4214001,98,0000916005B32200
152813471,6314000,98,4000000000000000
152817010,4394000,98,00000043
152820671,4294001,98,0000000000000180
152823570,421400B,98,00863E0440000000
152839551,4214006,98,0000000000000000
152843890,621400A,98,0000
152846710,6314003,98,A210300080800000
152860550,4214001,98,0000916005B32200
152867429,2214000,98,806800000000
152870668,4294001,98,0000000000000180
152897748,4394100,98,7EA7EA0003FD8000
152910529,4214001,98,0000916005A12100
152917028,4394000,98,00000043
152920687,4294001,98,0000000000000180
152923589,421400B,98,00863E0440000000
152932747,6214000,98,28004000003A0B00
152938027,4214006,98,0000000000000000
152946307,A3D4003,98,2CA5100380000000
152957927,6284000,98,0000000000000000
152960707,4214001,98,0000916005A12100
152970685,4294001,98,0000000000000180
152992866,6254000,98,80FFFF00FFFFFF00
152997825,4394100,98,7EC7EB0003FD8000
153010585,4214001,98,0000916005A82100
153017084,4394000,98,00000043
153020685,4294001,98,0000000000000180
153023563,421400B,98,00863E0440000000
153039384,4214006,98,0000000000000000
153046324,A354003,98,2CA5100380000000
153057703,621401A,98,8005010000000000
153060582,4214001,98,0000916005A82100
153063522,6314000,98,4000000000000000
153070702,4294001,98,0000000000000180
153097721,4394100,98,7EB7EA0003FC8000
153110660,4214001,98,0000916005C52100
153117020,4394000,98,00000043
153119561,2214000,98,806800000000
153122441,421400B,98,00863E0440000000
153125360,4294001,98,0000000000000180
153139380,4214006,98,0000000000000000
153146360,A194003,98,0000400000000000
153160598,4214001,98,0000916005C52100
153163378,6264000,98,0C1ECF7FB3222200
153170758,4294001,98,0000000000000180
153182718,6214000,98,28004000003A0B00
153197736,4394100,98,7EB7EA0003FD8000
153210596,4214001,98,0000916005C52100
153213457,63D4000,98,5659000006C00000
153217037,4394000,98,00000043
153220717,4294001,98,0000000000000180
153223597,421400B,98,00863E0440000000
153239376,4214006,98,0000000000000000
153242716,6254000,98,80FFFF00FFFFFF00
