Time [s], Analyzer Name, Decoded Protocol Result
0.033764800000000,CAN,Data Field Byte: '152' (0x98)
0.033844800000000,CAN,CRC value: '7279' (0x1C6F)
0.034014800000000,CAN,ACK
0.036644520000000,CAN,Extended CAN Identifier: '70860800' (0x04394000)
0.037014520000000,CAN,Control Field: '4' (0x4) bytes
0.037054520000000,CAN,Data Field Byte: '0' (0x00)
0.037154520000000,CAN,Data Field Byte: '0' (0x00)
0.037244520000000,CAN,Data Field Byte: '0' (0x00)
0.037344520000000,CAN,Data Field Byte: C (0x43)
0.037424520000000,CAN,CRC value: '22436' (0x57A4)
0.037584520000000,CAN,ACK
0.038074480000000,CAN,Extended CAN Identifier: '69287937' (0x04214001)
0.038434480000000,CAN,Control Field: '8' (0x8) bytes
0.038474480000000,CAN,Data Field Byte: '0' (0x00)
0.038574480000000,CAN,Data Field Byte: '2' (0x02)
0.038664480000000,CAN,Data Field Byte: '208' (0xD0)
0.038744480000000,CAN,Data Field Byte: '130' (0x82)
0.038834480000000,CAN,Data Field Byte: '3' (0x03)
0.038924480000000,CAN,Data Field Byte: { (0x7B)
0.039004480000000,CAN,Data Field Byte: '23' (0x17)
0.039084480000000,CAN,Data Field Byte: '0' (0x00)
0.039174480000000,CAN,CRC value: '3606' (0x0E16)
0.039344480000000,CAN,ACK
0.043074360000000,CAN,Extended CAN Identifier: '69812225' (0x04294001)
0.043434360000000,CAN,Control Field: '8' (0x8) bytes
0.043474360000000,CAN,Data Field Byte: '0' (0x00)
0.043574360000000,CAN,Data Field Byte: '0' (0x00)
0.043664360000000,CAN,Data Field Byte: '0' (0x00)
0.043764360000000,CAN,Data Field Byte: '0' (0x00)
0.043864360000000,CAN,Data Field Byte: '0' (0x00)
0.043954360000000,CAN,Data Field Byte: '0' (0x00)
0.044054360000000,CAN,Data Field Byte: '1' (0x01)
0.044144360000000,CAN,Data Field Byte: '128' (0x80)
0.044234360000000,CAN,CRC value: '14432' (0x3860)
0.044404360000000,CAN,ACK
0.044534320000000,CAN,Extended CAN Identifier: '102842368' (0x06214000)
0.044904320000000,CAN,Control Field: '8' (0x8) bytes
0.044944320000000,CAN,Data Field Byte: COMMA (0x2C)
0.045034320000000,CAN,Data Field Byte: '0' (0x00)
0.045134320000000,CAN,Data Field Byte: @ (0x40)
0.045224320000000,CAN,Data Field Byte: '0' (0x00)
0.045314320000000,CAN,Data Field Byte: '0' (0x00)
0.045414320000000,CAN,Data Field Byte: 8 (0x38)
0.045494320000000,CAN,Data Field Byte: '11' (0x0B)
0.045584320000000,CAN,Data Field Byte: '0' (0x00)
0.045674320000000,CAN,CRC value: '25820' (0x64DC)
0.045834320000000,CAN,ACK
0.056654020000000,CAN,Extended CAN Identifier: '103301120' (0x06284000)
0.057024020000000,CAN,Control Field: '8' (0x8) bytes
0.057064020000000,CAN,Data Field Byte: '0' (0x00)
0.057164020000000,CAN,Data Field Byte: '0' (0x00)
0.057254020000000,CAN,Data Field Byte: '0' (0x00)
0.057354020000000,CAN,Data Field Byte: '0' (0x00)
0.057454020000000,CAN,Data Field Byte: '0' (0x00)
0.057544020000000,CAN,Data Field Byte: '0' (0x00)
0.057644020000000,CAN,Data Field Byte: '0' (0x00)
0.057734020000000,CAN,Data Field Byte: '0' (0x00)
0.057834020000000,CAN,CRC value: '27941' (0x6D25)
0.057994020000000,CAN,ACK
0.063073860000000,CAN,Extended CAN Identifier: '69287937' (0x04214001)
0.063433860000000,CAN,Control Field: '8' (0x8) bytes
0.063473860000000,CAN,Data Field Byte: '0' (0x00)
0.063573860000000,CAN,Data Field Byte: '2' (0x02)
0.063663860000000,CAN,Data Field Byte: '208' (0xD0)
0.063743860000000,CAN,Data Field Byte: '130' (0x82)
0.063833860000000,CAN,Data Field Byte: '3' (0x03)
0.063923860000000,CAN,Data Field Byte: { (0x7B)
0.064003860000000,CAN,Data Field Byte: '23' (0x17)
0.064083860000000,CAN,Data Field Byte: '0' (0x00)
0.064173860000000,CAN,CRC value: '3606' (0x0E16)
0.064343860000000,CAN,ACK
0.068083740000000,CAN,Extended CAN Identifier: '69812225' (0x04294001)
0.068443740000000,CAN,Control Field: '8' (0x8) bytes
0.068483740000000,CAN,Data Field Byte: '0' (0x00)
0.068583740000000,CAN,Data Field Byte: '0' (0x00)
0.068673740000000,CAN,Data Field Byte: '0' (0x00)
0.068773740000000,CAN,Data Field Byte: '0' (0x00)
0.068873740000000,CAN,Data Field Byte: '0' (0x00)
0.068963740000000,CAN,Data Field Byte: '0' (0x00)
0.069063740000000,CAN,Data Field Byte: '1' (0x01)
0.069153740000000,CAN,Data Field Byte: '128' (0x80)
0.069243740000000,CAN,CRC value: '14432' (0x3860)
0.069413740000000,CAN,ACK
0.069553700000000,CAN,Extended CAN Identifier: '69287947' (0x0421400B)
0.069913700000000,CAN,Control Field: '8' (0x8) bytes
0.069953700000000,CAN,Data Field Byte: '0' (0x00)
0.070053700000000,CAN,Data Field Byte: '134' (0x86)
0.070133700000000,CAN,Data Field Byte: > (0x3E)
0.070223700000000,CAN,Data Field Byte: '4' (0x04)
0.070313700000000,CAN,Data Field Byte: '0' (0x00)
0.070413700000000,CAN,Data Field Byte: '0' (0x00)
0.070503700000000,CAN,Data Field Byte: '0' (0x00)
0.070603700000000,CAN,Data Field Byte: '0' (0x00)
0.070693700000000,CAN,CRC value: '6188' (0x182C)
0.070873700000000,CAN,ACK
0.071683640000000,CAN,Extended CAN Identifier: '69287942' (0x04214006)
0.072043640000000,CAN,Control Field: '8' (0x8) bytes
0.072083640000000,CAN,Data Field Byte: '0' (0x00)
0.072183640000000,CAN,Data Field Byte: '0' (0x00)
0.072273640000000,CAN,Data Field Byte: '0' (0x00)
0.072373640000000,CAN,Data Field Byte: '0' (0x00)
0.072473640000000,CAN,Data Field Byte: '0' (0x00)
0.072563640000000,CAN,Data Field Byte: '0' (0x00)
0.072663640000000,CAN,Data Field Byte: '0' (0x00)
0.072753640000000,CAN,Data Field Byte: '0' (0x00)
0.072853640000000,CAN,CRC value: '11418' (0x2C9A)
0.073013640000000,CAN,ACK
0.074193580000000,CAN,Extended CAN Identifier: '103104512' (0x06254000)
0.074563580000000,CAN,Control Field: '8' (0x8) bytes
0.074603580000000,CAN,Data Field Byte: '128' (0x80)
0.074693580000000,CAN,Data Field Byte: '255' (0xFF)
0.074783580000000,CAN,Data Field Byte: '255' (0xFF)
0.074883580000000,CAN,Data Field Byte: '0' (0x00)
0.074973580000000,CAN,Data Field Byte: '255' (0xFF)
0.075063580000000,CAN,Data Field Byte: '255' (0xFF)
0.075163580000000,CAN,Data Field Byte: '255' (0xFF)
0.075253580000000,CAN,Data Field Byte: '0' (0x00)
0.075343580000000,CAN,CRC value: '15014' (0x3AA6)
0.075503580000000,CAN,ACK
0.076643520000000,CAN,Extended CAN Identifier: '70861056' (0x04394100)
0.077013520000000,CAN,Control Field: '8' (0x8) bytes
0.077053520000000,CAN,Data Field Byte: ~ (0x7E)
0.077143520000000,CAN,Data Field Byte: '183' (0xB7)
0.077223520000000,CAN,Data Field Byte: '234' (0xEA)
