Time, ID, Data
663382,4214006,0000000000000000
663394,4394100,7EC7EA0003FF8000
663412,4214001,0100808702ED1800
663415,4394000,00000094
663422,4294001,0000000000000180
663425,421400B,00863E0400000000
663429,6214000,2C00400000340B00
663454,6284000,0000000000000000
663462,4214001,0100808702ED1700
663465,18DA98F1,0322029200000000
663472,4294001,0000000000000180
663475,18DAF198,0762029202011000
663482,4214006,0000000000000000
663489,6254000,80FFFF00FFFFFF00
663494,4394100,7EB7EC0003FE8000
663497,621401A,0005010000000000
663504,2294000,0000000000000000
663513,4214001,0100808702ED1700
663515,4394000,00000094
663522,4294001,0000000000000180
663525,421400B,00863E0400000000
663559,6314000,0000000000000000
663562,4214001,0100808702DB1700
663565,18DA98F1,0322029200000000
663572,4294001,0000000000000180
663575,18DAF198,0762029202011000
663582,4214006,0000000000000000
663594,4394100,7E97EA0003FF8000
663613,4214001,0100808702DB1700
663615,2214000,006800000000
663617,4394000,00000094
663622,4294001,0000000000000180
663625,421400B,00863E0400000000
663629,18DA40F1,03220131
663635,18DAF140,0462013114
663654,C214003,132901012013
663659,6264000,071ED07FD0191B00
663663,4214001,0100808702DB1700
663665,18DA98F1,0322029200000000
663672,4294001,0000000000000180
663675,18DAF198,0762029202011000
663679,6214000,2C00400000340B00
663682,4214006,0000000000000000
663694,4394100,7EA7EA0003FE8000
663709,63D4000,595B00000BC00000
663713,4214001,0100808702ED1700
663715,4394000,00000094
663722,4294001,0000000000000180
663725,421400B,00863E0400000000
663739,6254000,80FFFF00FFFFFF00
663745,621401A,0005010000000000
663755,C054003,0471CAE188CC0000
663756,621400A,0000
663762,4214001,0100808702ED1700
663765,18DA98F1,0322029200000000
663772,4294001,0000000000000180
663775,18DAF198,0762029202011000
663782,4214006,0000000000000000
663794,4394100,7EA7EB0003FE8000
663809,6314000,0000000000000000
663813,4214001,0100808702ED1700
663815,4394000,00000094
663822,4294001,0000000000000180
663825,421400B,00863E0400000000
663855,6314003,2010300000000000
663862,4214001,0100808702F01700
663865,2214000,006800000000
663868,18DA98F1,0322029200000000
663872,4294001,0000000000000180
663875,18DAF198,0762029202011000
663882,4214006,0000000000000000
663894,4394100,7EA7EB0003FF8000
663912,4214001,0100808702F01700
663915,4394000,00000094
663922,4294001,0000000000000180
663925,421400B,00863E0400000000
663929,6214000,2C00400000340B00
663954,6284000,0000000000000000
663957,A3D4003,2CA5100230000000
663962,4214001,0100808702F01700
663965,18DA98F1,0322029200000000
663972,4294001,0000000000000180
663975,18DAF198,0762029202011000
663982,4214006,0000000000000000
663989,6254000,80FFFF00FFFFFF00
663994,4394100,7EA7EA0003FF8000
663997,621401A,0005010000000000
664013,4214001,0100808702DF1700
