Time, ID, Bus, Data
84698090,4294001,98,0000000000000180
84710129,4394100,98,7EB7EB0003FE0000
84725129,63D4000,98,5653000006C00000
84729429,4394000,98,00000043
84738269,4214001,98,0000905D00000000
84747826,4294001,98,0000000000000180
84750727,421400B,98,00863E0400000000
84755166,6254000,98,80FFFF00FFFFFF00
84764627,C394003,98,C202000008016000
84787747,4214001,98,0000905D00000000
84797746,4294001,98,0000000000000180
84810127,4394100,98,7EB7EB0003FE0000
84825206,6314000,98,0000000000000000
84829426,4394000,98,00000043
84838225,4214001,98,0000905D00000000
84846805,E094000,98,001E00400C0B
84849704,421400B,98,00863E0400000000
84852624,4294001,98,0000000000000180
84854424,E094003,98,001A
84856205,E09400A,98,001A
84857986,E094020,98,000A
84864664,6314003,98,0010700000000000
84867024,6314020,98,00000098
84872145,621400A,98,0000
84879825,2214000,98,000000000000
84887723,4214001,98,0000905D00000000
84897763,4294001,98,0000000000000180
84910123,4394100,98,7EB7EB0003FE0000
84929422,4394000,98,00000043
84938262,4214001,98,0000905D00000000
84945242,6214000,98,0000180000000B00
84948162,4294001,98,0000000000000180
84951060,421400B,98,00863E0400000000
84970340,6284000,98,0000000000000000
84987759,4214001,98,0000905D00000000
84997759,4294001,98,0000000000000180
85005259,6254000,98,80FFFF00FFFFFF00
85010199,4394100,98,7EB7EB0003FE0000
85020319,2294000,98,0000000000000000
85029458,4394000,98,00000043
85038038,4214001,98,0000905D00000000
85047778,4294001,98,0000000000000180
85050676,421400B,98,00863E0400000000
85075197,6314000,98,0000000000000000
85087757,4214001,98,0000905D00000000
85097796,4294001,98,0000000000000180
85110116,4394100,98,7EB7EB0003FE0000
85129415,4394000,98,00000043
85131954,2214000,98,000000000000
85138094,4214001,98,0000905D00000000
85147797,4294001,98,0000000000000180
85150694,421400B,98,00863E0400000000
85164274,C214003,98,004004012013
85175113,6264000,98,021ED07FC0005300
85187814,4214001,98,0000905D00000000
85195152,6214000,98,0000180000000B00
85198071,4294001,98,0000000000000180
85210111,4394100,98,7EB7EB0003FE0000
85225112,63D4000,98,5653000006C00000
85229411,4394000,98,00000043
85238250,4214001,98,0000905D00000000
85247810,4294001,98,0000000000000180
85250710,421400B,98,00863E0400000000
85255129,6254000,98,80FFFF00FFFFFF00
85264590,C054003,98,1781CAE180E70000
85287810,4214001,98,0000905D00000000
85297808,4294001,98,0000000000000180
85310109,4394100,98,7EB7EB0003FE0000
85325189,6314000,98,0000000000000000
85329408,4394000,98,00000043
85338247,4214001,98,0000905D00000000
85347807,4294001,98,0000000000000180
85350707,421400B,98,00863E0400000000
85364667,6314003,98,0010700000000000
85372145,621400A,98,0000
85379826,2214000,98,000000000000
85387825,4214001,98,0000905D00000000
85397827,4294001,98,0000000000000180
85410165,4394100,98,7EB7EB0003FE0000
85429544,4394000,98,00000043
