Time Stamp,ID,Bus,Data
0.004885540000000,102842394,2,0005010000000000
0.010395420000000,235487258,2,001E
0.011655160000000,102842378,2,0400
0.013085120000000,35733504,2,006800000000
0.015635240000000,69287937,2,0002D082037E1700
0.018104980000000,103890947,2,2010300000000000
0.019564960000000,69812225,2,0000000000000180
0.021684900000000,69287947,2,00863E0400000000
0.026644780000000,69287942,2,0000000000000000
0.033074800000000,70861056,2,7E97EA0003FF8000
0.036644520000000,103890976,2,00000098
0.038074480000000,70860800,2,00000043
0.043074360000000,69287937,2,0002D082037B1700
0.044534320000000,69812225,2,0000000000000180
0.056654020000000,102842368,2,2C00400000380B00
0.063073860000000,103301120,2,0000000000000000
0.068083740000000,69287937,2,0002D082037B1700
0.069553700000000,69812225,2,0000000000000180
0.071683640000000,69287947,2,00863E0400000000
0.074193580000000,69287942,2,0000000000000000
0.076643520000000,103104512,2,80FFFF00FFFFFF00
0.081653380000000,70861056,2,7EB7EA0003FF8000
0.086643260000000,36257792,2,0000000000000000
0.088083220000000,70860800,2,00000043
0.093083100000000,69287937,2,0002D082037B1700
0.109192700000000,69812225,2,0000000000000180
0.113082600000000,103890944,2,0000000000000000
0.118092480000000,69287937,2,0002D082037E1700
0.119552440000000,69812225,2,0000000000000180
0.121682380000000,69287947,2,00863E0400000000
0.126652260000000,69287942,2,0000000000000000
0.128452420000000,70861056,2,7EB7EA0003FF8000
0.136672620000000,102842394,2,0005010000000000
0.137742600000000,70860800,2,00000043
0.139012580000000,35733504,2,006800000000
0.143092460000000,69287937,2,0002D082037E1700
0.159262060000000,69812225,2,0000000000000180
0.163101960000000,103170048,2,081ED87FF0212200
0.165631840000000,69287937,2,0002D082037E1700
0.168101840000000,203505667,2,021804012013
0.169561800000000,69812225,2,0000000000000180
0.171011760000000,69287947,2,00863E0400000000
0.172441720000000,102842368,2,2C00400000380B00
0.176671620000000,69287942,2,0000000000000000
0.184201440000000,70861056,2,7EA7EA0003FF8000
0.186651380000000,104677376,2,575B00000DC00000
0.188101340000000,70860800,2,00000043
0.193101200000000,69287937,2,0002D082037E1700
0.199191060000000,69812225,2,0000000000000180
0.213100700000000,103104512,2,80FFFF00FFFFFF00
0.215640720000000,69287937,2,0002D08203851700
0.218110580000000,201670659,2,1781CAE188DF0000
0.219570540000000,69812225,2,0000000000000180
0.221680480000000,69287947,2,00863E0400000000
0.226640360000000,69287942,2,0000000000000000
0.234190180000000,70861056,2,7EA7EA0003FF8000
0.236640120000000,103890944,2,0000000000000000
0.238120080000000,70860800,2,00000043
0.243129940000000,69287937,2,0002D08203851700
0.253449960000000,69812225,2,0000000000000180
0.260379660000000,102842394,2,0005010000000000
0.261649480000000,102842378,2,0400
