Time, ID, Data
1276826,4214001,0100808902E21700
1276830,18DAF160,056210000B80
1276836,4294001,0000000000000180
1276839,421400B,00863E0400000000
1276841,18DA40F1,03220131
1276844,2214000,006800000000
1276846,18DAF140,0462013114
1276850,6314003,2010300000000000
1276853,4214006,0000000000000000
1276875,4394100,7EA7EA0003FE8000
1276877,4214001,0100808902E21700
1276887,4294001,0000000000000180
1276894,4394000,00000094
1276910,6214000,2C00400000340B00
1276922,18DA60F1,0322100000000000
1276926,4214001,0100808902D41700
1276930,18DAF160,056210000B80
1276935,6284000,0000000000000000
1276937,421400B,00863E0400000000
1276940,4294001,0000000000000180
1276950,A3D4003,2CA51002D0000000
1276953,4214006,0000000000000000
1276970,6254000,80FFFF00FFFFFF00
1276975,4394100,7EA7EA0003FE0000
1276977,4214001,0100808902D41700
1276987,4294001,0000000000000180
1276994,4394000,00000094
1276997,621401A,0005010000000000
1277021,18DA60F1,0322100000000000
1277026,4214001,0100808902D41700
1277030,18DAF160,056210000B80
1277036,4294001,0000000000000180
1277039,421400B,00863E0400000000
1277042,6314000,0000000000000000
1277050,A354003,2CA51002D0000000
1277053,4214006,0000000000000000
1277075,4394100,7EA7EA0003FE0000
1277077,4214001,0100808902DB1700
1277086,4294001,0000000000000180
1277094,4394000,00000094
1277096,2214000,006800000000
1277120,18DA60F1,0322100000000000
1277126,4214001,0100808902DB1700
1277130,18DAF160,056210000B80
1277136,4294001,0000000000000180
1277139,421400B,00863E0400000000
1277142,6264000,071EB37FC01A1B00
1277150,A194003,0000400000000000
1277153,4214006,0000000000000000
1277155,621400A,0000
1277160,6214000,2C00400000340B00
1277175,4394100,7EB7EA0003FE8000
1277177,4214001,0100808902DB1700
1277186,4294001,0000000000000180
1277190,63D4000,595B00000BC00000
1277194,4394000,00000094
1277220,6254000,80FFFF00FFFFFF00
1277222,18DA60F1,0322100000000000
1277226,4214001,0100808902D41700
1277230,18DAF160,056210000B80
1277236,4294001,0000000000000180
1277239,421400B,00863E0400000000
1277246,621401A,0005010000000000
1277250,C394003,C202000008016000
1277253,4214006,0000000000000000
1277275,4394100,7EA7EA0003FE8000
1277277,4214001,0100808902D41700
